          35          19          45          12
          34          20          46           6
          35          27          43        4519
          33          21          44          11
          32          22          39           8
          34          21          48         333
          30          20          42           2
          38          25          43          12
          38          25          49        2958
          28          20          43          10
          41          29          44        4070
          32          19          44           1
          28          19          43           2
          38          28          43       10421
          25           0           0           0
          36          24          42           8
          38          25          42         243
          39          25          45          81
          33          17          39           2
          38          25          39         157
          37          27          45           1
          31          18          39           8
          35          22          41           2
          31          20          45          32
          40          30          45       11123
          34          25          48         516
          37          22          49          73
          32          19          45           2
          39          25          43          49
          35          25          42          12
          43          32          45        3645
          35          21          45         124
          39          26          48          31
          40          26          48          23
          36          25          43         169
          33          21          41           8
          31          21          49           3
          37          23          46           2
          32          27          41           8
          36          23          43        2112
          29          19          49           4
          34          24          41         170
          27          15          44           1
          34          21          43           2
          39          25          47          28
          30          18          43          10
          37          22          40           8
          42          33          48       64709
          36          25          43          10
          35          20          51          17
          37          28          45         301
          34          18          40           9
          34          25          47          23
          39          28          43        4856
          36          24          45        7057
          35          25          47         769
          38          28          47         208
          39          27          47       52290
          35          22          44          85
          34          23          48           7
          37          21          47          82
          42          25          39        1677
          29          17          41           8
          41          24          46         656
          35          24          43           2
          38          22          45       10400
          36          20          42          14
          33          22          46           2
          25           0           0           0
          33          20          45          12
          30          17          45           1
          34          20          43          40
          32          21          42          14
          28          15          44           1
          37          23          42           8
          32          21          40           8
          39          28          44          65
          30          17          41           2
          32          25          44         134
          38          24          43          12
          38          23          47         153
          39          26          42           8
          37          20          47          35
          39          27          47        1003
          36          23          45         215
          38          28          49          46
          34          24          47         200
          35          23          40           8
          30          19          44           1
          38          25          43          32
          32          22          39         103
          33          23          42           2
          34          24          47           6
          33          22          43          13
          42          28          43        2127
          34          22          41         113
          39          30          41         517
          30          17          42           8
          32          20          45           1
          34          20          51          17
          32          15          39           9
          37          23          47         223
          28          15          43           1
          38          24          42         251
          41          26          45           2
          39          25          49           7
          35          26          47         237
          32          18          43          25
          33          23          43           8
          41          29          43        2667
          28          17          45           1
          34          23          47          53
          32          19          39           9
          34          24          42          59
          36          22          44           8
          34          20          45          59
          37          24          45          12
          28          17          44           1
          41          29          43       24865
          32          19          46           6
          33          22          47           6
          36          20          47         143
          36          22          47          34
          33          19          39           9
          38          22          44         523
          34          24          42         737
          36          24          39         170
          35          22          43           2
          32          19          48          22
          33          20          49          76
          42          24          49        6910
          37          22          47          94
          40          24          43           6
          35          25          45          33
          29          22          41           2
          40          24          46        2096
          37          20          45         135
          36          26          43         113
          36          21          43          13
          37          24          47          49
          35          24          43          54
          37          22          43           8
          35          23          44           2
          30          20          43          11
          39          30          47        2870
          42          33          44         585
          26          17          45           2
          41          29          47          79
          40          24          46         836
          33          19          45         201
          34          21          39          13
          33          21          49          60
          35          24          44         248
          33          24          43          24
          39          29          44         151
          31          23          46           1
          36          23          46           1
          41          27          47        5565
          42          26          47         378
          35          27          45        4571
          40          30          47        6422
          32          20          42           8
          38          28          45         449
          38          26          47         595
          39          24          47        1555
          41          25          49         645
          32          19          40           8
          35          25          45          97
          25           0           0           0
          30          19          44          25
          31          18          45           1
          41          24          51        6915
          34          23          46        1917
          30          19          43           2
          35          22          47          20
          38          23          43         882
          30          20          48           5
          37          25          44         919
          34          20          45          74
          38          25          46         394
          39          21          49         738
          35          20          47          22
          40          30          47         190
          41          27          45        1515
          39          27          49          55
          35          25          41         994
          39          27          47        7117
          37          22          46          19
          33          21          41           2
          34          18          47          19
          30          20          46           6
          31          21          46           1
          36          24          47          98
          40          24          43          39
          38          25          45         138
          41          27          47          33
          40          29          49        2510
          36          26          43           2
          34          21          45           1
          40          26          49        1924
          36          17          43           2
          38          27          45          68
          34          22          45          61
          32          22          40           8
          37          19          43        4784
          32          16          43           8
          38          27          50          46
          35          21          43          38
          35          22          49           4
          38          27          49          31
          39          28          47        4677
          30          18          45           2
          43          28          47        8235
          38          28          43         830
          32          21          47          15
          37          24          42          10
          37          23          45         259
          37          25          45          35
          40          24          45         524
          35          19          44           1
          36          23          45          84
          36          24          50          17
          31          20          46           1
          35          24          42          74
          42          27          47        1445
          40          28          48          31
          36          23          45         151
          34          22          46           6
          33          24          49          16
          30          20          45           2
          38          22          43         125
          40          25          49          64
          35          23          49          86
          38          24          46         613
          42          25          47        4232
          34          24          43          31
          32          18          41           2
          37          26          43          70
          37          27          41          14
          37          22          39         129
          38          27          49           3
          32          22          47          15
          41          27          41         472
          38          24          43          25
          35          28          43         309
          41          25          47          82
          40          23          43           8
          40          21          43        1716
          38          22          48           5
          37          20          47          22
          42          28          43         315
          32          23          43          79
          25           0           0           0
          42          23          47        2245
          35          24          45           2
          41          25          44          12
          36          23          43           1
          36          19          45         151
          41          28          45        2207
          40          27          45          76
          34          20          47           6
          41          28          46         370
          38          20          45          12
          32          20          43           8
          39          24          45           8
          41          27          47       26941
          35          23          46           3
          34          25          41          14
          43          27          47       26905
          35          25          45           2
          32          20          50           3
          31          17          41           2
          38          26          47        4157
          33          24          41           2
          41          29          43       26513
          35          22          45         297
          37          26          44          99
          33          19          43          10
          39          23          45         138
          39          26          47        1320
          33          22          42           2
          42          32          45         791
          33          23          51           3
          38          25          43           8
          40          27          49        1210
          43          27          45       32969
          37          26          49         108
          38          18          45        1268
          40          28          49        7810
          36          25          44          47
          38          27          48          20
          34          20          44          10
          41          27          45         429
          33          18          43           8
          29          17          45           1
          40          25          42           9
          30          21          49           4
          37          22          45          10
          23           0           0           0
          36          15          45        2509
          29          21          45          18
          33          23          45          53
          43          27          49        7533
          37          28          45        2652
          36          24          49          31
          32          20          43          25
          42          27          49        1500
          41          26          45           8
          40          25          47         152
          37          26          45         151
          37          27          43         139
          34          20          47           4
          31          21          43          44
          37          28          45         241
          35          25          45         422
          33          22          45           6
          39          26          48          23
          38          27          49         359
          42          26          45        1430
          36          28          47         116
          33          23          41         232
          38          25          47          73
          35          24          43          16
          42          29          47         398
          38          27          49        2203
          32          20          47           3
          32          18          48           3
          36          23          47          44
          37          24          48         147
          39          22          45          31
          31          20          44           1
          34          21          43           8
          39          27          47         201
          34          23          44          12
          34          24          43           8
          36          17          46           2
          41          27          47        8709
          41          26          45         112
          37          23          47         216
          38          24          45          93
          32          19          45          44
          34          22          45           8
          33          24          41          14
          34          22          41           9
          35          23          42         136
          36          26          43        3272
          34          18          44          40
          38          25          43         316
          29          23          39           9
          35          23          45           2
          41          29          42         136
          37          26          43          12
          34          21          46          43
          39          21          47          23
          40          29          49       14666
          36          19          45         400
          37          24          43           8
          35          19          44           2
          36          26          45          14
          36          22          43         103
          33          19          45           6
          35          24          43           1
          31          22          43          80
          35          23          46          22
          28          18          41           2
          35          24          45          31
          34          24          47          46
          37          24          42           2
          37          27          43         525
          31          16          41           9
          30          18          45           2
          39          25          47        1416
          37          24          46          23
          40          28          49           5
          39          26          46        2071
          28          13          42           8
          31          17          47           3
          34          22          49           3
          42          23          47          61
          30          21          41           2
          40          23          47         208
          38          22          48           6
          35          17          40           8
          36          20          45          32
          37          22          47        1116
          41          28          47       14145
          43          28          49       96342
          35          19          45         102
          31          23          43           8
          33          20          43           1
          30          19          46          90
          41          27          45       19090
          35          26          45        2942
          40          25          47         127
          35          23          45          12
          37          26          46          76
          31          19          44          32
          42          31          49        4951
          43          30          44       38924
          35          19          51          17
          41          31          44        6637
          33          22          42           2
          33          25          46          12
          31          24          44          10
          27          16          49           4
          39          24          45          16
          33          20          40           8
          39          31          48        5073
          39          21          47          72
          35          21          47           3
          38          27          41        1168
          35          22          43           8
          28          18          45           1
          38          28          40         776
          33          22          51           3
          34          22          41         370
          37          25          43        3210
          32          24          43           8
          35          24          46           3
          39          20          45          41
          35          17          43          49
          39          29          46          20
          31          21          44           1
          43          24          48        4400
          36          23          48         350
          38          29          47         520
          36          24          45          49
          39          27          43         493
          34          15          45           6
          41          31          43       59993
          34          24          42          27
          31          14          41           1
          40          30          47       13295
          35          23          47         202
          36          22          47          35
          38          26          45       18576
          34          26          43          54
          40          30          51         173
          43          29          47         105
